Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 8uL_5hr	Razor + unique peptides 8uL_5hr	Unique peptides 8uL_5hr	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 8uL_5hr	Reporter intensity corrected 2 8uL_5hr	Reporter intensity corrected 3 8uL_5hr	Reporter intensity corrected 4 8uL_5hr	Reporter intensity corrected 5 8uL_5hr	Reporter intensity corrected 6 8uL_5hr	Reporter intensity 1 8uL_5hr	Reporter intensity 2 8uL_5hr	Reporter intensity 3 8uL_5hr	Reporter intensity 4 8uL_5hr	Reporter intensity 5 8uL_5hr	Reporter intensity 6 8uL_5hr	Reporter intensity count 1 8uL_5hr	Reporter intensity count 2 8uL_5hr	Reporter intensity count 3 8uL_5hr	Reporter intensity count 4 8uL_5hr	Reporter intensity count 5 8uL_5hr	Reporter intensity count 6 8uL_5hr	Sequence coverage 8uL_5hr [%]	Intensity	Intensity 8uL_5hr	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P02662	CON__P02662	6	6	6				1	6	6	6	6	6	6	35.7	35.7	35.7	22.975	199	199	0	56.898	34904	76359	97054	54808	101270	49478	34374	73324	96935	59331	99244	49345	16	16	16	16	16	15	34904	76359	97054	54808	101270	49478	34374	73324	96935	59331	99244	49345	16	16	16	16	16	15	35.7	1617600000	1617600000	18			+	24	1600;1739;2055;2409;3394;8443	True;True;True;True;True;True	1682;1826;2154;2524;3546;8838	2286;2472;2473;2906;3432;3433;4844;4845;12316;12317	3082;3325;3326;3327;3328;3939;3940;4701;4702;4703;4704;4705;6706;6707;6708;17021;17022;17023	3082;3328;3939;4702;6706;17022	14	135
CON__P02663	CON__P02663	4	4	4				1	4	4	4	4	4	4	18.4	18.4	18.4	24.348	207	207	0	40.182	44332	94840	137730	58309	147760	88984	43617	91305	136440	65941	144470	87835	14	14	14	14	14	14	44332	94840	137730	58309	147760	88984	43617	91305	136440	65941	144470	87835	14	14	14	14	14	14	18.4	401060000	401060000	14			+	25	435;2348;5315;5473	True;True;True;True	457;2457;5585;5749;5750	614;615;3305;3306;7737;7738;7979;7980	859;860;861;862;4489;4490;4491;4492;4493;10672;10673;10674;10996;10997	862;4493;10673;10997	15	26
CON__P02666	CON__P02666	3	3	3				1	3	3	3	3	3	3	15.8	15.8	15.8	23.583	209	209	0	21.649	27699	66238	60438	36861	59812	48077	27387	63204	61523	39460	59356	46896	9	8	8	8	9	8	27699	66238	60438	36861	59812	48077	27387	63204	61523	39460	59356	46896	9	8	8	8	9	8	15.8	484450000	484450000	9			+	26	800;1200;7888	True;True;True	842;1264;1265;8261	1136;1690;1691;11503;11504	1561;1562;2278;2279;15852;15853;15854;15855;15856	1561;2278;15852	16	185
CON__P02668	CON__P02668	2	2	2				1	2	2	2	2	2	2	13.6	13.6	13.6	18.974	169	169	0	14.233	10552	18306	22804	16680	29341	19136	10300	17699	22864	17700	28929	18822	3	3	3	3	3	3	10552	18306	22804	16680	29341	19136	10300	17699	22864	17700	28929	18822	3	3	3	3	3	3	13.6	31995000	31995000	3			+	27	6316;8497	True;True	6630;6631;8899	9189;9190;12391	12652;12653;17127	12653;17127	17	95
CON__P02754	CON__P02754	7	7	7				1	7	7	7	7	7	7	43.2	43.2	43.2	18.281	162	162	0	54.477	39161	91686	52325	37407	77007	23217	38683	87219	55431	40021	74866	23970	8	8	8	8	8	8	39161	91686	52325	37407	77007	23217	38683	87219	55431	40021	74866	23970	8	8	8	8	8	8	43.2	69942000	69942000	12			+	28	440;4551;4873;7338;7916;7917;8215	True;True;True;True;True;True;True	462;4758;4759;5093;7686;8291;8292;8600	620;6596;6597;7047;10649;10650;11545;11546;11988	867;868;9115;9116;9731;14617;14618;14619;15905;15906;15907;16519	868;9116;9731;14618;15906;15907;16519	18	7
CON__P02768-1;P07724	CON__P02768-1	19;2	14;2	14;2				2	19	14	14	19	14	14	27.8	21.5	21.5	69.366	609	609;608	0	87.384	174350	109480	95725	93130	113040	40665	166440	111820	98292	95793	111580	41386	19	19	19	19	19	19	174350	109480	95725	93130	113040	40665	166440	111820	98292	95793	111580	41386	19	19	19	19	19	19	27.8	187990000	187990000	20			+	29	168;793;841;925;1123;2540;3374;4073;4191;5009;5039;5059;5339;6023;6120;6582;7520;8003;8465	True;True;False;True;True;True;True;False;True;True;True;False;True;True;True;True;True;False;False	175;834;835;884;975;1180;2660;3525;4260;4386;5233;5263;5283;5609;6323;6424;6904;7881;8382;8861	237;1126;1127;1128;1185;1297;1562;3622;4820;5853;5854;6038;7256;7291;7292;7318;7319;7763;8762;8898;9568;10942;11665;11666;12344	345;1550;1551;1552;1622;1767;2103;4988;6670;8066;8067;8334;10031;10032;10082;10083;10084;10085;10113;10114;10115;10116;10705;12060;12237;13155;15035;16059;16060;16061;17059	345;1552;1622;1767;2103;4988;6670;8067;8334;10032;10083;10114;10705;12060;12237;13155;15035;16061;17059	19	572
CON__P02769	CON__P02769	32	32	27				1	32	32	27	32	32	27	49.6	49.6	43.3	69.293	607	607	0	292.48	568150	514580	466940	479870	625560	188240	545430	511330	478780	493470	614980	194380	78	78	78	78	78	78	568150	514580	466940	479870	625560	188240	545430	511330	478780	493470	614980	194380	78	78	78	78	78	78	49.6	3077700000	3077700000	85			+	30	171;706;841;881;892;926;929;1121;1470;2450;2639;3366;3378;4051;4073;4192;4423;4559;5038;5059;5065;5236;5340;6022;6119;6225;6240;7031;7494;8003;8414;8465	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	178;742;884;927;939;976;979;1178;1548;2566;2761;3516;3529;4238;4260;4387;4622;4768;5262;5283;5289;5493;5494;5610;6322;6423;6534;6549;7364;7851;7852;8382;8808;8861	241;242;243;1006;1007;1185;1237;1238;1256;1257;1258;1298;1301;1302;1556;2113;3487;3786;4809;4810;4826;5826;5853;5854;6039;6399;6400;6401;6607;7289;7290;7318;7319;7326;7616;7617;7618;7764;8761;8892;8893;8894;8895;8896;8897;9061;9078;10209;10894;10895;10896;10897;10898;10899;10900;11665;11666;12273;12274;12344	351;352;353;354;355;1387;1388;1389;1622;1697;1698;1717;1718;1719;1768;1771;1772;1773;2096;2854;4776;5225;6654;6655;6656;6677;6678;8034;8066;8067;8335;8853;8854;8855;8856;8857;8858;9128;9129;9130;10074;10075;10076;10077;10078;10079;10080;10081;10113;10114;10115;10116;10123;10124;10518;10519;10520;10706;12058;12059;12231;12232;12233;12234;12235;12236;12489;12511;14030;14967;14968;14969;14970;14971;14972;14973;14974;14975;14976;16059;16060;16061;16965;16966;17059	352;1389;1622;1698;1717;1768;1773;2096;2854;4776;5225;6655;6677;8034;8067;8335;8855;9130;10075;10114;10123;10518;10706;12059;12233;12489;12511;14030;14976;16061;16965;17059	20;21	469;571
CON__P04259	CON__P04259	34	2	2				1	34	2	2	34	2	2	52.1	4.4	4.4	59.998	564	564	0	48.048	47572	47785	38317	34422	41662	21259	45761	47133	39533	35556	41315	21159	4	4	4	4	4	4	47572	47785	38317	34422	41662	21259	45761	47133	39533	35556	41315	21159	4	4	4	4	4	4	52.1	91976000	91976000	4			+	31	137;148;623;685;719;1358;2327;2355;2463;2829;3146;3824;4016;4136;4289;4591;5406;5408;5421;5480;5814;5944;6030;6031;6379;6460;6631;6632;6978;8292;8347;8348;8352;8544	False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	144;155;658;721;756;1425;1426;2435;2436;2464;2579;2958;3292;4000;4201;4325;4485;4801;5680;5682;5695;5759;6107;6244;6331;6332;6696;6781;6953;6954;7310;8683;8740;8741;8745;8947	190;191;192;193;194;209;210;904;905;980;1028;1029;1894;1895;1896;1897;1898;1899;3275;3276;3277;3278;3314;3315;3506;3507;4040;4512;4513;5507;5508;5777;5949;6165;6166;6645;7858;7859;7861;7862;7880;7881;7882;7883;7884;7993;7994;7995;7996;8484;8656;8772;8773;9282;9387;9650;9651;9652;10139;10140;12110;12111;12183;12184;12185;12186;12192;12463	282;283;284;285;286;287;288;289;310;311;312;1255;1256;1257;1258;1360;1417;1418;1419;2541;2542;2543;2544;2545;2546;2547;2548;4438;4439;4440;4441;4442;4443;4444;4445;4505;4506;4507;4508;4509;4510;4511;4512;4803;4804;4805;4806;4807;4808;4809;5585;6257;6258;6259;6260;7634;7635;7636;7637;7977;7978;8203;8204;8205;8508;8509;8510;8511;9174;9175;9176;10824;10825;10827;10828;10829;10855;10856;10857;10858;10859;10860;10861;10862;11020;11021;11022;11023;11024;11025;11026;11027;11686;11909;11910;11911;11912;12071;12072;12073;12074;12764;12765;12916;12917;13283;13284;13285;13943;13944;13945;13946;16724;16725;16726;16727;16819;16820;16821;16822;16823;16824;16825;16826;16827;16841;16842;17243	283;312;1255;1360;1419;2547;4442;4511;4804;5585;6258;7635;7977;8204;8510;9175;10825;10827;10860;11021;11686;11910;12072;12074;12765;12917;13284;13285;13943;16724;16820;16826;16841;17243	11;12	279;452
CON__P04264;CON__H-INV:HIT000016045	CON__P04264	39;3	35;1	25;0				2	39	35	25	39	35	25	61.8	59.8	48.8	66.017	644	644;99	0	323.31	1609400	1661200	1437300	1861200	1990500	1131400	1549000	1637100	1484600	1884800	1985800	1119900	292	292	291	292	292	291	1609400	1661200	1437300	1861200	1990500	1131400	1549000	1637100	1484600	1884800	1985800	1119900	292	292	291	292	292	291	61.8	78276000000	78276000000	330			+	32	147;1362;1440;2465;2576;2863;2889;3145;3169;3184;3521;3956;4047;4135;4685;5262;5408;5481;5543;5924;6380;6381;6462;6531;6538;6553;6603;6604;6628;6768;7174;7175;7258;7309;7310;8230;8347;8348;8350	True;True;True;False;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True	154;1430;1431;1515;1516;2581;2697;2992;3019;3291;3315;3331;3680;4139;4140;4234;4324;4896;5520;5521;5682;5760;5761;5762;5828;6224;6697;6698;6783;6853;6860;6875;6925;6926;6950;7094;7511;7512;7601;7657;7658;8615;8740;8741;8743	207;208;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;3513;3514;3515;3673;3674;3675;3676;3677;3678;3679;3680;3681;3682;3683;3684;4082;4083;4084;4085;4086;4087;4088;4089;4090;4091;4092;4093;4138;4139;4509;4510;4511;4546;4547;4548;4567;4568;4569;5022;5023;5703;5704;5822;5946;5947;5948;6767;6768;6769;6770;6771;6772;6773;6774;6775;6776;6777;6778;6779;6780;6781;7653;7654;7861;7862;7997;7998;7999;8000;8001;8002;8003;8004;8005;8006;8007;8008;8099;8629;8630;8631;9283;9284;9285;9286;9287;9389;9390;9491;9500;9521;9522;9523;9524;9525;9526;9527;9528;9529;9600;9601;9602;9603;9604;9605;9606;9607;9608;9609;9646;9647;9839;10393;10394;10395;10396;10397;10398;10399;10400;10401;10533;10611;10612;10613;12010;12011;12012;12013;12014;12183;12184;12185;12186;12188;12189	304;305;306;307;308;309;2553;2554;2555;2556;2557;2558;2559;2560;2561;2562;2563;2564;2565;2566;2567;2568;2569;2570;2571;2572;2573;2574;2575;2576;2577;2578;2579;2580;2581;2582;2583;2584;2585;2586;2767;2768;2769;2770;2771;2772;2773;2774;2775;2776;2777;2778;2779;2780;2781;2782;2783;2784;2785;2786;2787;2788;2789;2790;2791;2792;2793;2794;4818;4819;4820;4821;4822;4823;4824;4825;4826;4827;4828;4829;4830;5058;5059;5060;5061;5062;5063;5064;5065;5066;5067;5068;5069;5070;5071;5072;5073;5074;5075;5076;5077;5078;5079;5080;5081;5082;5083;5084;5650;5651;5652;5653;5654;5655;5656;5657;5658;5659;5660;5661;5662;5663;5664;5665;5666;5667;5668;5669;5736;5737;6253;6254;6255;6256;6312;6313;6314;6315;6344;6345;6346;6347;6348;6947;6948;6949;6950;6951;6952;7892;7893;7894;8029;8030;8196;8197;8198;8199;8200;8201;8202;9352;9353;9354;9355;9356;9357;9358;9359;9360;9361;9362;9363;9364;9365;9366;9367;9368;9369;9370;9371;9372;9373;9374;9375;9376;9377;10564;10565;10566;10567;10827;10828;10829;11028;11029;11030;11031;11032;11033;11034;11035;11036;11037;11038;11039;11040;11041;11042;11043;11044;11045;11046;11047;11048;11172;11868;11869;11870;11871;11872;11873;11874;11875;11876;11877;12766;12767;12768;12769;12770;12771;12772;12773;12774;12919;12920;12921;12922;13052;13053;13054;13055;13065;13066;13093;13094;13095;13096;13097;13098;13099;13100;13101;13102;13103;13104;13105;13106;13107;13198;13199;13200;13201;13202;13203;13204;13205;13206;13207;13208;13209;13210;13211;13212;13213;13214;13215;13216;13217;13218;13219;13220;13221;13222;13223;13271;13272;13273;13274;13275;13276;13277;13278;13279;13524;14256;14257;14258;14259;14260;14261;14262;14263;14264;14265;14266;14267;14268;14269;14270;14446;14447;14448;14449;14450;14560;14561;14562;14563;14564;14565;14566;14567;14568;14569;16553;16554;16555;16556;16557;16558;16559;16560;16561;16562;16563;16564;16565;16566;16819;16820;16821;16822;16823;16824;16825;16826;16827;16829;16830;16831;16832;16833;16834;16835;16836;16837	306;2585;2788;4820;5059;5657;5736;6254;6312;6345;6950;7894;8029;8200;9360;10566;10827;11046;11172;11875;12771;12773;12921;13053;13065;13102;13202;13223;13271;13524;14263;14269;14448;14561;14569;16560;16820;16826;16831	22;23;24;25;26	259;262;296;469;493
CON__P06868;P20918	CON__P06868	6;1	6;1	6;1				2	6	6	6	6	6	6	6.8	6.8	6.8	91.215	812	812;812	0	37.399	29778	33318	32904	57993	67368	24715	28710	32732	33972	58285	66607	25117	5	5	5	5	5	5	29778	33318	32904	57993	67368	24715	28710	32732	33972	58285	66607	25117	5	5	5	5	5	5	6.8	47707000	47707000	6			+	33	1375;2064;2110;3218;5426;8277	True;True;True;True;True;True	1445;2163;2209;3365;5700;8668	1945;2917;2972;4615;7889;12088	2622;3953;4024;6411;10867;16688	2622;3953;4024;6411;10867;16688		
CON__P08727	CON__P08727	11	1	1				1	11	1	1	11	1	1	20.5	2.2	2.2	44.091	400	400	1	-2	3081.6	4448.7	4006.2	8690.8	4556.4	2564.3	2990.4	4315.1	4182.5	8536.3	4716.6	2539.4	1	1	1	1	1	1	3081.6	4448.7	4006.2	8690.8	4556.4	2564.3	2990.4	4315.1	4182.5	8536.3	4716.6	2539.4	1	1	1	1	1	1	20.5	6184300	6184300	1	+		+	34	1650;2403;4086;4167;4168;4313;4979;5270;7043;7222;7832	False;False;False;False;False;False;True;False;False;False;False	1734;2518;4274;4359;4360;4509;5201;5532;5533;7377;7378;7560;8205	2352;2353;3424;5871;5872;5994;5995;5996;5997;6199;7206;7667;7668;7669;7670;10225;10226;10227;10228;10229;10471;11411	3168;3169;4689;8093;8094;8095;8096;8097;8098;8265;8266;8267;8268;8269;8270;8271;8272;8273;8560;8561;9957;10582;10583;10584;10585;10586;10587;10588;14049;14050;14051;14052;14053;14054;14055;14056;14359;14360;15713;15714;15715;15716	3169;4689;8094;8268;8273;8561;9957;10587;14055;14360;15714	4;27	177;202
CON__P08730-1;P08730	CON__P08730-1;P08730	10;10	1;1	1;1	Keratin, type I cytoskeletal 13	Krt13	;sp|P08730|K1C13_MOUSE Keratin, type I cytoskeletal 13 OS=Mus musculus GN=Krt13 PE=1 SV=2	2	10	1	1	10	1	1	14.4	2.1	2.1	47.754	437	437;437	1	-2	8490.2	9400.6	7391.3	8490.2	10787	3661.9	8183.8	9220.9	7669.1	8682	10625	3743.5	1	1	1	1	1	1	8490.2	9400.6	7391.3	8490.2	10787	3661.9	8183.8	9220.9	7669.1	8682	10625	3743.5	1	1	1	1	1	1	14.4	8755700	8755700	1	+		+	35	3629;4026;4086;4167;4168;4313;5377;6115;6116;6588	True;False;False;False;False;False;False;False;False;False	3793;4211;4212;4274;4359;4360;4509;5648;5649;6419;6420;6910	5190;5787;5788;5871;5872;5994;5995;5996;5997;6199;7816;7817;7818;7819;7820;8883;8884;8885;8886;8887;8888;9581	7192;7989;7990;7991;8093;8094;8095;8096;8097;8098;8265;8266;8267;8268;8269;8270;8271;8272;8273;8560;8561;10770;10771;10772;10773;10774;10775;10776;12216;12217;12218;12219;12220;12221;12222;12223;12224;12225;12226;13175	7192;7991;8094;8268;8273;8561;10774;12218;12225;13175	28	239
CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8;Q9Z2K1	CON__P08779	29;10;10;10	16;4;4;4	13;4;4;4				4	29	16	13	29	16	13	62.6	38.5	33.2	51.267	473	473;469;474;469	0	251.65	407200	287580	285270	224070	285150	174830	389350	291180	289700	233620	283210	172430	49	49	49	49	49	49	407200	287580	285270	224070	285150	174830	389350	291180	289700	233620	283210	172430	49	49	49	49	49	49	62.6	1633900000	1633900000	51			+	36	394;558;657;848;879;1275;1445;1446;1651;2109;2234;2261;3114;3127;3612;3845;4027;4086;4167;4168;4313;5378;5861;6146;6416;7043;7832;8127;8358	False;True;False;True;True;True;False;False;True;True;True;True;True;False;True;False;True;False;False;False;False;True;False;True;True;True;False;False;True	416;591;693;892;925;1341;1342;1522;1523;1735;2208;2334;2363;3257;3258;3272;3774;4022;4213;4214;4274;4359;4360;4509;5650;6157;6158;6452;6734;7377;7378;8205;8507;8508;8751	556;557;558;810;811;947;948;1193;1233;1234;1790;1791;1792;1793;2083;2084;2085;2354;2971;3133;3134;3176;3177;4461;4462;4463;4464;4487;4488;5162;5163;5164;5545;5546;5789;5790;5871;5872;5994;5995;5996;5997;6199;7821;8544;8545;8546;8547;8947;8948;9327;10225;10226;10227;10228;10229;11411;11836;11837;11838;11839;11840;11841;11842;11843;11844;11845;11846;11847;11848;11849;11850;11851;11852;11853;11854;11855;11856;12200	781;782;783;784;785;1125;1126;1127;1314;1315;1316;1317;1630;1689;1690;1691;1692;1693;2411;2412;2413;2414;2817;2818;2819;2820;3170;4022;4023;4238;4239;4240;4298;4299;4300;6182;6183;6184;6185;6186;6187;6188;6227;6228;6229;6230;7156;7157;7158;7159;7689;7690;7691;7692;7992;7993;8093;8094;8095;8096;8097;8098;8265;8266;8267;8268;8269;8270;8271;8272;8273;8560;8561;10777;11761;11762;11763;11764;11765;11766;12311;12312;12313;12830;12831;14049;14050;14051;14052;14053;14054;14055;14056;15713;15714;15715;15716;16282;16283;16284;16285;16286;16287;16288;16289;16290;16291;16292;16293;16294;16295;16296;16297;16298;16299;16300;16301;16302;16303;16304;16305;16306;16307;16308;16309;16310;16311;16312;16313;16314;16315;16316;16317;16318;16319;16320;16321;16322;16323;16324;16325;16326;16327;16328;16858;16859	782;1126;1315;1630;1690;2414;2819;2820;3170;4022;4239;4299;6183;6228;7157;7690;7993;8094;8268;8273;8561;10777;11764;12311;12830;14055;15714;16326;16859	6;10;27;29;30;31	14;121;239;259;274;296
CON__P12763	CON__P12763	5	5	5				1	5	5	5	5	5	5	18.7	18.7	18.7	38.418	359	359	0	46.549	43243	45638	61470	29575	81949	27171	41639	45146	61166	33201	79348	27829	10	10	10	10	10	10	43243	45638	61470	29575	81949	27171	41639	45146	61166	33201	79348	27829	10	10	10	10	10	10	18.7	103220000	103220000	10			+	37	844;2043;2289;5788;7342	True;True;True;True;True	887;2141;2395;6081;7690	1188;2888;3219;8451;8452;8453;10654;10655	1625;3917;4357;11645;11646;11647;11648;14625;14626;14627	1625;3917;4357;11647;14627		
CON__P13645;CON__Q7Z3Y7;CON__Q2M2I5;A6BLY7;A1L317;CON__P05784;CON__Q99456;P05784;CON__Q92764;CON__Q14532;CON__A2AB72;CON__O76015;CON__O76013;CON__Q7Z3Y9;Q62168;Q6IFX3;Q8VCW2;Q9Z320;B1AQ75	CON__P13645	34;6;4;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1	34;6;4;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1	19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0				19	34	34	19	34	34	19	60.4	60.4	44.5	59.51	593	593;486;525;462;512;423;494;423;425;448;453;456;467;468;407;439;446;448;473	0	323.31	1575900	1532200	1266700	1654000	1729600	788260	1514900	1514600	1312700	1673000	1721100	789560	235	234	235	235	235	233	1575900	1532200	1266700	1654000	1729600	788260	1514900	1514600	1312700	1673000	1721100	789560	235	234	235	235	235	233	60.4	82410000000	82410000000	264			+	38	125;205;399;870;1967;3152;3162;3333;3649;3844;3945;4026;4086;4167;4168;4304;4560;5377;5523;5595;5601;6100;6115;6116;6388;6389;6463;6587;6763;6764;6823;7834;8127;8367	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	132;216;421;916;2058;3298;3308;3482;3815;4021;4127;4211;4212;4274;4359;4360;4500;4769;5648;5649;5807;5882;5888;5889;5890;6404;6419;6420;6706;6707;6784;6909;7090;7091;7149;8207;8507;8508;8761	175;286;287;288;566;567;568;569;570;1219;1220;1221;2772;2773;2774;2775;2776;2777;2778;2779;4520;4521;4522;4536;4537;4538;4761;4762;5256;5544;5688;5689;5787;5788;5871;5872;5994;5995;5996;5997;6185;6186;6187;6608;7816;7817;7818;7819;7820;8069;8070;8071;8072;8073;8171;8172;8179;8180;8181;8182;8183;8184;8185;8186;8187;8188;8189;8190;8859;8860;8861;8862;8863;8883;8884;8885;8886;8887;8888;9295;9296;9391;9392;9575;9576;9577;9578;9579;9580;9830;9831;9832;9833;9834;9835;9914;9915;9916;9917;9918;11413;11414;11415;11416;11417;11418;11419;11420;11421;11422;11423;11424;11836;11837;11838;11839;11840;11841;11842;11843;11844;11845;11846;11847;11848;11849;11850;11851;11852;11853;11854;11855;11856;12215;12216	258;409;410;411;412;413;414;415;796;797;798;799;800;801;802;803;804;805;806;1660;1661;1662;1663;1664;1665;1666;1667;3745;3746;3747;3748;3749;3750;3751;3752;3753;3754;3755;3756;3757;3758;3759;3760;3761;3762;3763;6269;6270;6271;6272;6273;6274;6275;6276;6277;6278;6296;6297;6298;6299;6300;6301;6302;6596;6597;7282;7688;7871;7872;7873;7989;7990;7991;8093;8094;8095;8096;8097;8098;8265;8266;8267;8268;8269;8270;8271;8272;8273;8537;8538;8539;8540;8541;8542;8543;9131;9132;10770;10771;10772;10773;10774;10775;10776;11128;11129;11130;11131;11132;11133;11134;11262;11263;11274;11275;11276;11277;11278;11279;11280;11281;11282;11283;11284;11285;11286;11287;11288;12183;12184;12185;12186;12187;12188;12189;12190;12191;12192;12193;12194;12216;12217;12218;12219;12220;12221;12222;12223;12224;12225;12226;12785;12786;12787;12788;12789;12923;12924;12925;13163;13164;13165;13166;13167;13168;13169;13170;13171;13172;13173;13174;13507;13508;13509;13510;13511;13512;13513;13514;13515;13516;13517;13635;13636;13637;13638;13639;13640;13641;13642;13643;15718;15719;15720;15721;15722;15723;15724;15725;15726;15727;15728;15729;15730;15731;15732;15733;15734;15735;15736;16282;16283;16284;16285;16286;16287;16288;16289;16290;16291;16292;16293;16294;16295;16296;16297;16298;16299;16300;16301;16302;16303;16304;16305;16306;16307;16308;16309;16310;16311;16312;16313;16314;16315;16316;16317;16318;16319;16320;16321;16322;16323;16324;16325;16326;16327;16328;16881;16882;16883;16884;16885;16886;16887	258;411;797;1663;3760;6270;6297;6597;7282;7688;7872;7991;8094;8268;8273;8538;9132;10774;11130;11262;11283;12189;12218;12225;12787;12789;12925;13166;13509;13517;13636;15726;16326;16884	10;28;32;33;34	150;271;291;306;321
CON__P13646-1	CON__P13646-1	11	4	1				1	11	4	1	11	4	1	18.6	7.6	2	49.586	458	458	0	25.548	4870	5844.5	5141.6	9507.4	9602.5	2888.8	4703	5714.9	5353.1	9501.5	9523	2983.1	1	1	1	1	1	1	4870	5844.5	5141.6	9507.4	9602.5	2888.8	4703	5714.9	5353.1	9501.5	9523	2983.1	1	1	1	1	1	1	18.6	9301900	9301900	4			+	39	394;876;3710;4026;4169;4313;5377;6115;6116;6588;7833	False;True;True;False;True;False;False;False;False;True;False	416;922;3880;4211;4212;4361;4509;5648;5649;6419;6420;6910;8206	556;557;558;1230;5341;5787;5788;5998;6199;7816;7817;7818;7819;7820;8883;8884;8885;8886;8887;8888;9581;11412	781;782;783;784;785;1685;7395;7989;7990;7991;8274;8560;8561;10770;10771;10772;10773;10774;10775;10776;12216;12217;12218;12219;12220;12221;12222;12223;12224;12225;12226;13175;15717	782;1685;7395;7991;8274;8561;10774;12218;12225;13175;15717	28	247
